更新时间,#genre#
2025-03-30 16:29:42,url


央视频道,#genre#
CCTV世界地理[1920x1080],http://116.30.251.13:8088/udp/239.253.43.24:5146
CCTV世界地理[1920x1080],http://116.30.251.13:8088/udp/239.253.43.7:5146
CCTV世界地理[1920x1080],http://113.104.185.200:7088/udp/239.253.43.24:5146
CCTV世界地理[1920x1080],http://113.104.185.200:7088/udp/239.253.43.7:5146
CCTV兵器科技[1920x1080],http://116.30.251.13:8088/udp/239.253.43.18:5146
CCTV兵器科技[1920x1080],http://116.30.251.13:8088/udp/239.253.43.9:5146
CCTV兵器科技[1920x1080],http://113.104.185.200:7088/udp/239.253.43.18:5146
CCTV兵器科技[1920x1080],http://113.104.185.200:7088/udp/239.253.43.9:5146
CCTV央视台球[1920x1080],http://113.104.185.200:7088/udp/239.253.43.11:5146
CCTV央视台球[1920x1080],http://116.30.251.13:8088/udp/239.253.43.11:5146
CCTV央视台球[1920x1080],http://116.30.251.13:8088/udp/239.253.43.21:5146
CCTV央视台球[1920x1080],http://113.104.185.200:7088/udp/239.253.43.11:5146
CCTV央视台球[1920x1080],http://113.104.185.200:7088/udp/239.253.43.21:5146
CCTV央视文化精品[1920x1080],http://113.104.185.200:7088/udp/239.253.43.13:5146
CCTV央视文化精品[1920x1080],http://113.104.185.200:7088/udp/239.253.43.27:5146
CCTV央视文化精品[1920x1080],http://116.30.251.13:8088/udp/239.253.43.13:5146
CCTV央视文化精品[1920x1080],http://116.30.251.13:8088/udp/239.253.43.27:5146
CCTV央视文化精品[1920x1080],http://113.104.185.200:7088/udp/239.253.43.13:5146
CCTV央视文化精品[1920x1080],http://113.104.185.200:7088/udp/239.253.43.27:5146
CCTV女性时尚[1920x1080],http://116.30.251.13:8088/udp/239.253.43.23:5146
CCTV女性时尚[1920x1080],http://116.30.251.13:8088/udp/239.253.43.8:5146
CCTV女性时尚[1920x1080],http://113.104.185.200:7088/udp/239.253.43.23:5146
CCTV女性时尚[1920x1080],http://113.104.185.200:7088/udp/239.253.43.8:5146
CCTV怀旧剧场[1920x1080],http://116.30.251.13:8088/udp/239.253.43.25:5146
CCTV怀旧剧场[1920x1080],http://116.30.251.13:8088/udp/239.253.43.5:5146
